,feature,importance
0,ht:Q21|value,0.04042666336969633
1,ht:Q21|mean360,0.0012652549790220513
2,ht:Q21|std180,0.0008415386207463738
3,ht:F9|act24h_range,0.0007933815676539335
4,source_disagreement_rel,0.0007495739550733016
5,lims_feed_sulfur,0.0006432325754025525
6,ht:F9|act24h_travel,0.000617985184410752
7,ht:F9|act72h_slope,0.0004948583523847194
8,source_disagreement_abs,0.00048133074146425314
9,pak_sulfur,0.00044549896056711447
10,ht:T5|act72h_slope,0.00036096381941028155
11,ht:P3|act24h_slope,0.0002852339764682077
12,ht:F9|act6h_slope,0.0002682601577227717
13,ht:F9|act12h_range,0.00024121519783978917
14,ht:P8|delta180,0.0002377443617086472
15,ht:P3|act72h_range,0.00023565293339800064
16,ht:P3|act12h_slope,0.0002224406380886279
17,ht:Q21|delta180,0.00020195083045443374
18,ht:F9|act12h_slope,0.0001752440893101892
19,ht:T6|value,0.00015209376934791075
20,ht:T5|act72h_range,0.00013744471708979078
21,ht:F9|std180,0.00012486437992770272
22,ht:T5|act72h_travel,0.00012259807254730304
23,ht:F9|delta180,0.0001214912837187998
24,ht:F9|act6h_range,9.733436884051816e-05
