start,end,reason,detector,n_points,scope,formulation
2023-01-01 00:00:00,2023-01-01 11:50:00,TRANSIENT,causal_mode_v1,72,fit_and_advice,исключены данные с 2023-01-01 00:00:00 по 2023-01-01 11:50:00 по причине: переходный режим после пуска
2023-05-06 19:30:00,2023-05-10 10:20:00,PAK_FLATLINE,causal_run_length,522,pak_measurement,исключены данные с 2023-05-06 19:30:00 по 2023-05-10 10:20:00 по причине: зависание поточного анализатора (флэтлайн)
2024-01-04 06:30:00,2024-01-04 08:30:00,PAK_FLATLINE,causal_run_length,13,pak_measurement,исключены данные с 2024-01-04 06:30:00 по 2024-01-04 08:30:00 по причине: зависание поточного анализатора (флэтлайн)
2024-01-07 22:40:00,2024-01-07 22:40:00,PAK_FLATLINE,causal_run_length,1,pak_measurement,исключены данные с 2024-01-07 22:40:00 по 2024-01-07 22:40:00 по причине: зависание поточного анализатора (флэтлайн)
2024-02-29 03:50:00,2024-02-29 19:10:00,PAK_FLATLINE,causal_run_length,93,pak_measurement,исключены данные с 2024-02-29 03:50:00 по 2024-02-29 19:10:00 по причине: зависание поточного анализатора (флэтлайн)
2024-03-15 15:10:00,2024-03-15 18:50:00,PAK_FLATLINE,causal_run_length,23,pak_measurement,исключены данные с 2024-03-15 15:10:00 по 2024-03-15 18:50:00 по причине: зависание поточного анализатора (флэтлайн)
2024-03-16 23:50:00,2024-03-17 07:50:00,TRANSIENT,causal_mode_v1,49,fit_and_advice,исключены данные с 2024-03-16 23:50:00 по 2024-03-17 07:50:00 по причине: переходный режим после пуска
2024-03-17 00:10:00,2024-05-02 12:10:00,PAK_FLATLINE,causal_run_length,6697,pak_measurement,исключены данные с 2024-03-17 00:10:00 по 2024-05-02 12:10:00 по причине: зависание поточного анализатора (флэтлайн)
2024-03-17 08:00:00,2024-03-18 09:40:00,SHUTDOWN,causal_mode_v1,155,fit_and_advice,исключены данные с 2024-03-17 08:00:00 по 2024-03-18 09:40:00 по причине: установка остановлена (режим вне рабочего)
2024-03-18 09:50:00,2024-04-03 08:50:00,TRANSIENT,causal_mode_v1,2299,fit_and_advice,исключены данные с 2024-03-18 09:50:00 по 2024-04-03 08:50:00 по причине: переходный режим после пуска
