unit_id,tag,description_old,letter_class_old,description_class_old,classes_agree_old,source_file_old,source_sheet_old,description_new,letter_class_new,description_class_new,classes_agree_new,source_file_new,source_sheet_new,unit
AVT,T1,Температура верха К1. Выход на FIRC0955,temperature,temperature,True,Теги_хакатон.xlsx,КИП,Температура верха К-1 (выход на FIRC0955),temperature,temperature,True,теги АВТ_24-2000.xlsx,АВТ,"температура, °C"
AVT,P2,Давление бензиновых паров верха К1,pressure,pressure,True,Теги_хакатон.xlsx,КИП,Давление бензиновых паров верха К-1,pressure,pressure,True,теги АВТ_24-2000.xlsx,АВТ,"давление, МПа"
AVT,F3,Расход бензина на орошение К1,flow,flow,True,Теги_хакатон.xlsx,КИП,Расход бензина на орошение К-1,flow,flow,True,теги АВТ_24-2000.xlsx,АВТ,"расход, т/ч"
AVT,P4,Давление низа К1 в Е6,pressure,pressure,True,Теги_хакатон.xlsx,КИП,Давление низа К-1 в Е-6,pressure,pressure,True,теги АВТ_24-2000.xlsx,АВТ,"давление, МПа"
AVT,F5,Расход пара в К1,flow,flow,True,Теги_хакатон.xlsx,КИП,Расход пара в К-1,flow,flow,True,теги АВТ_24-2000.xlsx,АВТ,"расход, т/ч"
AVT,T6,Температура низ К1,temperature,temperature,True,Теги_хакатон.xlsx,КИП,Температура низа К-1,temperature,temperature,True,теги АВТ_24-2000.xlsx,АВТ,"температура, °C"
AVT,F7,Расход обессоленной нефти (3-й ход) (Нефть обессоленная в Т-4/2),flow,flow,True,Теги_хакатон.xlsx,КИП,Расход обессоленной нефти (3-й ход) в Т-4/2,flow,flow,True,теги АВТ_24-2000.xlsx,АВТ,"расход, т/ч"
AVT,F8,Расход обессоленной нефти (1-й ход) (Нефть обессоленная в Т-6/1),flow,flow,True,Теги_хакатон.xlsx,КИП,Расход обессоленной нефти (1-й ход) в Т-6/1,flow,flow,True,теги АВТ_24-2000.xlsx,АВТ,"расход, т/ч"
AVT,F9,Расход обессоленной нефти (2-й ход) (Нефть обессоленная в Т-10/2),flow,flow,True,Теги_хакатон.xlsx,КИП,Расход обессоленной нефти (2-й ход) в Т-10/2,flow,flow,True,теги АВТ_24-2000.xlsx,АВТ,"расход, т/ч"
AVT,D10,Плотность. Тр-д подачи обессолен. и обезвожен. Нефти,density,density,True,Теги_хакатон.xlsx,КИП,Плотность нефти на подаче,density,density,True,теги АВТ_24-2000.xlsx,АВТ,"плотность, кг/м3"
AVT,T11,3-е ЦО после Т-46,temperature,unknown,False,Теги_хакатон.xlsx,КИП,3-е ЦО после Т-46,temperature,unknown,False,теги АВТ_24-2000.xlsx,АВТ,"температура, °C"
AVT,F12,Расход 2 ЦО в К2,flow,flow,True,Теги_хакатон.xlsx,КИП,Расход 2-го ЦО в К-2,flow,flow,True,теги АВТ_24-2000.xlsx,АВТ,"расход, т/ч"
AVT,T13,1-е ЦО К-2 после Т-30,temperature,unknown,False,Теги_хакатон.xlsx,КИП,1-е ЦО К-2 после Т-30,temperature,unknown,False,теги АВТ_24-2000.xlsx,АВТ,"температура, °C"
AVT,F14,Расход 1 ЦО в К2,flow,flow,True,Теги_хакатон.xlsx,КИП,Расход 1-го ЦО в К-2,flow,flow,True,теги АВТ_24-2000.xlsx,АВТ,"расход, т/ч"
AVT,T15,3 -е ЦО К-2,temperature,unknown,False,Теги_хакатон.xlsx,КИП,3-е ЦО К-2,temperature,unknown,False,теги АВТ_24-2000.xlsx,АВТ,"температура, °C"
AVT,F16,Расход бензина от Н4 в Е6,flow,flow,True,Теги_хакатон.xlsx,КИП,Расход бензина от Н-4 в Е-6,flow,flow,True,теги АВТ_24-2000.xlsx,АВТ,"расход, т/ч"
AVT,T17,2-е ЦО из К-2,temperature,unknown,False,Теги_хакатон.xlsx,КИП,2-е ЦО из К-2,temperature,unknown,False,теги АВТ_24-2000.xlsx,АВТ,"температура, °C"
AVT,T18,1-е ЦО из К-2,temperature,unknown,False,Теги_хакатон.xlsx,КИП,1-е ЦО из К-2,temperature,unknown,False,теги АВТ_24-2000.xlsx,АВТ,"температура, °C"
AVT,F19,Расход остр.орошения К2,flow,flow,True,Теги_хакатон.xlsx,КИП,Расход острого орошения К-2,flow,flow,True,теги АВТ_24-2000.xlsx,АВТ,"расход, т/ч"
AVT,T20,Температура верха К2. Выход на FIRC0953,temperature,temperature,True,Теги_хакатон.xlsx,КИП,Температура верха К-2 (выход на FIRC0953),temperature,temperature,True,теги АВТ_24-2000.xlsx,АВТ,"температура, °C"
AVT,P21,Давление бензиновых паров верха К2,pressure,pressure,True,Теги_хакатон.xlsx,КИП,Давление верха К-2 (измерительное),pressure,pressure,True,теги АВТ_24-2000.xlsx,АВТ,"давление, МПа"
AVT,P22,Давление верха К2,pressure,pressure,True,Теги_хакатон.xlsx,КИП,Давление верха К-2 (регистрирующее),pressure,pressure,True,теги АВТ_24-2000.xlsx,АВТ,"давление, МПа"
AVT,P23,Давление верха К-2,pressure,pressure,True,Теги_хакатон.xlsx,КИП,"Давление верха К-2 (регулятор, ветка B)",pressure,pressure,True,теги АВТ_24-2000.xlsx,АВТ,"давление, МПа"
AVT,T24,Переток из К-2 в К-6,temperature,flow,False,Теги_хакатон.xlsx,КИП,Температура перетока К-2 в К-6,temperature,temperature,True,теги АВТ_24-2000.xlsx,АВТ,"температура, °C"
AVT,F25,Расход бензина после Т26,flow,flow,True,Теги_хакатон.xlsx,КИП,Расход бензина после Т-26,flow,flow,True,теги АВТ_24-2000.xlsx,АВТ,"расход, т/ч"
AVT,F26,Расход пара в К6,flow,flow,True,Теги_хакатон.xlsx,КИП,Расход пара в К-6,flow,flow,True,теги АВТ_24-2000.xlsx,АВТ,"расход, т/ч"
AVT,F27,Расход пара в К7,flow,flow,True,Теги_хакатон.xlsx,КИП,Расход пара в К-7,flow,flow,True,теги АВТ_24-2000.xlsx,АВТ,"расход, т/ч"
AVT,F28,Расход пара в К9,flow,flow,True,Теги_хакатон.xlsx,КИП,Расход пара в К-9,flow,flow,True,теги АВТ_24-2000.xlsx,АВТ,"расход, т/ч"
AVT,F29,Расход пара в К2,flow,flow,True,Теги_хакатон.xlsx,КИП,Расход пара в К-2,flow,flow,True,теги АВТ_24-2000.xlsx,АВТ,"расход, т/ч"
AVT,F30,Расход фр.290-350°С с установки,flow,flow,True,Теги_хакатон.xlsx,КИП,Расход фр. 290-350 с установки,flow,flow,True,теги АВТ_24-2000.xlsx,АВТ,"расход, т/ч"
AVT,F31,Расход нефтепродукта в П3,flow,flow,True,Теги_хакатон.xlsx,КИП,Расход нефтепродукта в П-3,flow,flow,True,теги АВТ_24-2000.xlsx,АВТ,"расход, т/ч"
AVT,F32,Расход фр.240-290°С с установки,flow,flow,True,Теги_хакатон.xlsx,КИП,Расход фр. 240-290 с установки,flow,flow,True,теги АВТ_24-2000.xlsx,АВТ,"расход, т/ч"
AVT,T33,Температура низа К-2,temperature,temperature,True,Теги_хакатон.xlsx,КИП,Температура низа К-2,temperature,temperature,True,теги АВТ_24-2000.xlsx,АВТ,"температура, °C"
AVT,F34,Расход фр.150-250°С с установки,flow,flow,True,Теги_хакатон.xlsx,КИП,Расход фр. 150-250 с установки,flow,flow,True,теги АВТ_24-2000.xlsx,АВТ,"расход, т/ч"
AVT,F35,Расход ВЦО в К-10,flow,flow,True,Теги_хакатон.xlsx,КИП,Расход ВЦО в К-10,flow,flow,True,теги АВТ_24-2000.xlsx,АВТ,"расход, т/ч"
AVT,F36,Расход СЦО в К-10,flow,flow,True,Теги_хакатон.xlsx,КИП,Расход СЦО в К-10,flow,flow,True,теги АВТ_24-2000.xlsx,АВТ,"расход, т/ч"
AVT,T37,Температура ВЦО в К-10,temperature,temperature,True,Теги_хакатон.xlsx,КИП,Температура ВЦО в К-10,temperature,temperature,True,теги АВТ_24-2000.xlsx,АВТ,"температура, °C"
AVT,T38,Температура доп. ВЦО К10,temperature,temperature,True,Теги_хакатон.xlsx,КИП,Температура доп. ВЦО К-10,temperature,temperature,True,теги АВТ_24-2000.xlsx,АВТ,"температура, °C"
AVT,T39,Температура в К10 (над секцией рег.насадки 1а),temperature,temperature,True,Теги_хакатон.xlsx,КИП,Температура в К-10 над секцией насадки 1а,temperature,temperature,True,теги АВТ_24-2000.xlsx,АВТ,"температура, °C"
AVT,T40,Температура ВЦО из К10,temperature,temperature,True,Теги_хакатон.xlsx,КИП,Температура ВЦО из К-10,temperature,temperature,True,теги АВТ_24-2000.xlsx,АВТ,"температура, °C"
AVT,F41,Расход доп. ВЦО в К-10,flow,flow,True,Теги_хакатон.xlsx,КИП,Расход доп. ВЦО в К-10,flow,flow,True,теги АВТ_24-2000.xlsx,АВТ,"расход, т/ч"
AVT,T42,Температура фр.420-500°С из К10 в Е12,temperature,temperature,True,Теги_хакатон.xlsx,КИП,Температура фр. 420-500 из К-10 в Е-12,temperature,temperature,True,теги АВТ_24-2000.xlsx,АВТ,"температура, °C"
AVT,L43,Уровень в К10,level,level,True,Теги_хакатон.xlsx,КИП,Уровень в К-10,level,level,True,теги АВТ_24-2000.xlsx,АВТ,"уровень, %"
AVT,P44,Вакуум низа К10,pressure,pressure,True,Теги_хакатон.xlsx,КИП,Вакуум низа К-10,pressure,pressure,True,теги АВТ_24-2000.xlsx,АВТ,"давление, МПа"
AVT,F45,Расход холодного гудрона в К10,flow,flow,True,Теги_хакатон.xlsx,КИП,Расход холодного гудрона в К-10,flow,flow,True,теги АВТ_24-2000.xlsx,АВТ,"расход, т/ч"
AVT,F46,Расход НЦО К10 фракции 350-560,flow,flow,True,Теги_хакатон.xlsx,КИП,Расход НЦО К-10 (фр. 350-560),flow,flow,True,теги АВТ_24-2000.xlsx,АВТ,"расход, т/ч"
AVT,T47,Температура фр.350-560 °C после Т-40,temperature,temperature,True,Теги_хакатон.xlsx,КИП,Температура фр. 350-560 после Т-40,temperature,temperature,True,теги АВТ_24-2000.xlsx,АВТ,"температура, °C"
AVT,T48,Описание: Температура низа К10,temperature,temperature,True,Теги_хакатон.xlsx,КИП,Температура низа К-10,temperature,temperature,True,теги АВТ_24-2000.xlsx,АВТ,"температура, °C"
AVT,T49,Описание: Температура верха К10,temperature,temperature,True,Теги_хакатон.xlsx,КИП,Температура верха К-10,temperature,temperature,True,теги АВТ_24-2000.xlsx,АВТ,"температура, °C"
AVT,P50,Вакуум верха К10,pressure,pressure,True,Теги_хакатон.xlsx,КИП,Вакуум верха К-10,pressure,pressure,True,теги АВТ_24-2000.xlsx,АВТ,"давление, МПа"
AVT,P51,Вакуум верха К-10 (пересчёт на мм рт.ст. с кгс/см2 от AVT6:PIR0825.P),pressure,pressure,True,Теги_хакатон.xlsx,КИП,Вакуум верха К-10 (пересчёт в мм рт.ст.),pressure,pressure,True,теги АВТ_24-2000.xlsx,АВТ,"давление, мм рт.ст."
AVT,P52,Перепад давления над 4-й пак.насад. К10,pressure,pressure,True,Теги_хакатон.xlsx,КИП,Перепад давления над 4-й пак. насадки К-10,pressure,pressure,True,теги АВТ_24-2000.xlsx,АВТ,"перепад, МПа"
AVT,F53,Расход НЦО  К10 (Регулятор),flow,flow,True,Теги_хакатон.xlsx,КИП,Расход НЦО К-10 (регулятор),flow,flow,True,теги АВТ_24-2000.xlsx,АВТ,"расход, т/ч"
AVT,F54,"Расход от Н-34/1,2  К10",flow,flow,True,Теги_хакатон.xlsx,КИП,"Расход от Н-34/1,2 в К-10",flow,flow,True,теги АВТ_24-2000.xlsx,АВТ,"расход, т/ч"
AVT,T55,Температура на выходе из печи П3 (общ. Выход на FIRC2470),temperature,temperature,True,Теги_хакатон.xlsx,КИП,Температура на выходе из П-3 (на FIRC2470),temperature,temperature,True,теги АВТ_24-2000.xlsx,АВТ,"температура, °C"
AVT,F56,Расход в трубопроводе фракции до 350 с установки,flow,flow,True,Теги_хакатон.xlsx,КИП,Расход фр. до 350 с установки (реальный),flow,flow,True,теги АВТ_24-2000.xlsx,АВТ,"расход, т/ч"
AVT,F57,Расход в трубопроводе фракции до 350 с установки,flow,flow,True,Теги_хакатон.xlsx,КИП,Расход фр. до 350 с установки (виртуальный),flow,flow,True,теги АВТ_24-2000.xlsx,АВТ,"расход, т/ч"
AVT,T58,Температура фракции до 350 С от Т-37,temperature,temperature,True,Теги_хакатон.xlsx,КИП,Температура фр. до 350 от Т-37,temperature,temperature,True,теги АВТ_24-2000.xlsx,АВТ,"температура, °C"
AVT,F59,Расход фр.420-500°С с установки. Объемный расход,flow,flow,True,Теги_хакатон.xlsx,КИП,Расход фр. 420-500 с установки (объемный),flow,flow,True,теги АВТ_24-2000.xlsx,АВТ,"расход, м3/ч"
AVT,F60,Расход в трубопроводе фракции 350-560 с установки,flow,flow,True,Теги_хакатон.xlsx,КИП,Расход фр. 350-560 с установки,flow,flow,True,теги АВТ_24-2000.xlsx,АВТ,"расход, т/ч"
AVT,T61,Температура НЦО в К-10,temperature,temperature,True,Теги_хакатон.xlsx,КИП,Температура НЦО в К-10,temperature,temperature,True,теги АВТ_24-2000.xlsx,АВТ,"температура, °C"
AVT,F62,Расход НЦО К-10,flow,flow,True,Теги_хакатон.xlsx,КИП,Расход НЦО К-10,flow,flow,True,теги АВТ_24-2000.xlsx,АВТ,"расход, т/ч"
AVT,F63,Расход гудрона на битумную установку,flow,flow,True,Теги_хакатон.xlsx,КИП,Расход гудрона на битумную установку,flow,flow,True,теги АВТ_24-2000.xlsx,АВТ,"расход, т/ч"
AVT,F64,Расход 3-го ЦО в К2,flow,flow,True,Теги_хакатон.xlsx,КИП,Расход 3-го ЦО в К-2,flow,flow,True,теги АВТ_24-2000.xlsx,АВТ,"расход, т/ч"
AVT,F65,Производительность К-2 по отбензиненной нефти,flow,flow,True,Теги_хакатон.xlsx,КИП,Производительность К-2 по отбензиненной нефти,flow,flow,True,теги АВТ_24-2000.xlsx,АВТ,"расход, т/ч"
